"user_id","days_since_last_session","total_sessions_count","total_orders_count","is_churned"
273,31,1,0,1
274,20,4,0,0
275,1,11,2,0
276,999,0,0,1
277,1,15,1,0
278,49,6,0,1
279,4,1,0,0
280,6,2,0,0
281,251,1,0,1
282,7,6,0,0
283,14,8,0,0
284,48,10,0,1
285,16,15,0,0
286,24,6,0,0
287,148,1,0,1
288,200,1,0,1
289,9,9,0,0
290,999,0,0,1
291,33,1,0,1
292,999,0,0,1
293,21,6,0,0
294,44,3,0,1
295,8,18,7,0
296,3,13,0,0
297,3,9,0,0
298,245,1,0,1
299,13,10,0,0
300,4,8,2,0
301,65,2,0,1
302,1,14,0,0
303,999,0,0,1
304,36,6,0,1
305,12,2,0,0
306,6,7,0,0
307,5,19,7,0
308,2,7,0,0
309,57,1,0,1
310,18,19,8,0
311,19,6,0,0
312,5,12,2,0
313,167,1,0,1
314,2,2,0,0
315,5,3,0,0
316,2,7,0,0
317,70,1,0,1
318,154,3,0,1
319,12,7,0,0
320,15,10,2,0
321,72,2,0,1
322,3,12,1,0
323,27,9,1,0
324,52,1,0,1
325,5,24,7,0
326,3,25,13,0
327,4,1,0,0
328,2,9,0,0
329,7,9,1,0
330,6,5,0,0
331,6,2,0,0
332,12,2,0,0
333,16,5,0,0
334,26,2,0,0
335,40,5,0,1
336,25,4,0,0
337,126,3,0,1
338,34,2,0,1
339,28,2,0,0
340,13,3,0,0
341,6,6,0,0
342,185,1,0,1
343,13,24,8,0
344,6,9,0,0
345,999,0,0,1
346,999,0,0,1
347,22,11,1,0
348,7,5,0,0
349,999,0,0,1
350,999,0,0,1
351,3,3,0,0
352,3,2,0,0
353,999,0,0,1
354,208,1,0,1
355,10,10,2,0
356,88,2,0,1
357,4,24,3,0
358,70,2,0,1
359,86,3,0,1
360,7,22,7,0
361,12,18,6,0
362,33,4,0,1
363,18,4,0,0
364,9,15,0,0
365,11,16,0,0
366,14,2,0,0
367,4,20,8,0
368,7,7,0,0
369,3,29,13,0
370,43,10,0,1
371,30,9,2,0
372,1,13,0,0
373,14,5,0,0
374,4,6,0,0
375,137,1,0,1
376,157,2,0,1
377,40,3,0,1
378,4,8,0,0
379,15,2,0,0
380,27,2,0,0
381,23,2,0,0
382,10,2,0,0
383,39,1,0,1
384,7,2,0,0
385,29,27,12,0
386,19,7,1,0
387,48,5,0,1
388,40,9,0,1
389,26,1,0,0
390,999,0,0,1
391,28,1,0,0
392,115,3,0,1
393,101,1,0,1
394,10,4,0,0
395,4,4,0,0
396,34,4,0,1
397,60,1,0,1
398,7,2,0,0
399,33,5,0,1
400,17,6,0,0
401,50,1,0,1
402,45,2,0,1
403,3,14,0,0
404,41,4,1,1
405,36,9,0,1
406,11,5,0,0
407,193,1,0,1
408,14,3,0,0
409,8,2,0,0
410,8,3,0,0
411,79,1,0,1
412,10,6,0,0
413,2,5,0,0
414,3,12,0,0
415,20,9,0,0
416,59,3,0,1
417,7,5,0,0
418,130,3,0,1
419,178,1,0,1
420,6,17,8,0
421,3,18,6,0
422,92,4,0,1
423,999,0,0,1
424,13,9,0,0
425,15,5,0,0
426,20,20,2,0
427,999,0,0,1
428,30,1,0,0
429,27,8,0,0
430,47,10,0,1
431,999,0,0,1
432,21,4,0,0
433,143,4,0,1
434,29,1,0,0
435,42,9,1,1
436,64,4,0,1
437,4,9,0,0
438,22,3,0,0
439,80,1,0,1
440,33,2,0,1
441,5,11,5,0
442,24,2,0,0
443,8,9,0,0
444,240,2,0,1
445,47,5,0,1
446,14,7,0,0
447,3,20,5,0
448,65,2,0,1
449,30,2,0,0
450,999,0,0,1
451,50,1,0,1
452,188,6,0,1
453,41,3,0,1
454,29,2,0,0
455,10,10,0,0
456,139,1,0,1
457,84,4,0,1
458,23,4,0,0
459,40,4,0,1
460,169,2,0,1
461,2,14,0,0
462,43,1,0,1
463,6,8,1,0
464,13,10,1,0
465,265,1,0,1
466,123,3,0,1
467,5,4,0,0
468,25,1,0,0
469,6,21,3,0
470,3,28,9,0
471,8,2,0,0
472,999,0,0,1
473,7,12,0,0
474,113,3,0,1
475,22,5,0,0
476,37,1,0,1
477,13,8,0,0
478,58,3,0,1
479,2,7,0,0
480,101,4,0,1
481,37,4,0,1
482,3,13,1,0
483,26,4,0,0
484,35,2,0,1
485,58,18,7,1
486,59,3,0,1
487,6,2,0,0
488,999,0,0,1
489,11,8,0,0
490,293,1,0,1
491,63,1,0,1
492,58,11,1,1
493,999,0,0,1
494,44,3,0,1
495,51,10,0,1
496,8,1,0,0
497,40,8,0,1
498,74,6,1,1
499,1,15,1,0
500,219,1,0,1
501,94,3,0,1
502,9,4,0,0
503,39,2,0,1
504,52,2,0,1
505,21,6,0,0
506,999,0,0,1
507,11,6,0,0
508,1,4,0,0
509,2,26,9,0
510,6,14,0,0
511,27,9,0,0
512,59,1,0,1
513,238,1,0,1
514,24,1,0,0
515,15,8,1,0
516,16,4,0,0
517,4,14,1,0
518,2,13,0,0
519,16,7,0,0
520,13,2,0,0
521,29,2,0,0
522,41,7,1,1
523,31,2,0,1
524,21,6,1,0
525,2,2,0,0
526,15,16,4,0
527,5,2,0,0
528,14,3,0,0
529,20,12,1,0
530,18,6,0,0
531,5,2,0,0
532,30,8,0,0
533,29,3,0,0
534,2,23,9,0
535,999,0,0,1
536,3,6,0,0
537,67,2,0,1
538,999,0,0,1
539,166,1,0,1
540,59,4,0,1
541,53,2,0,1
542,238,3,0,1
543,24,18,8,0
544,31,2,0,1
545,999,0,0,1
546,44,2,0,1
547,8,7,0,0
548,14,6,0,0
549,4,7,0,0
550,1,11,0,0
551,47,2,0,1
552,76,1,0,1
553,53,1,0,1
554,72,4,0,1
555,999,0,0,1
556,5,9,0,0
557,40,8,0,1
558,19,7,0,0
559,45,5,0,1
560,14,12,1,0
561,12,4,0,0
562,55,3,0,1
563,29,6,0,0
564,19,3,0,0
565,66,2,0,1
566,17,8,1,0
567,999,0,0,1
568,9,1,0,0
569,2,11,1,0
570,87,1,0,1
571,55,9,1,1
572,1,11,0,0
573,8,3,0,0
574,6,1,0,0
575,2,4,0,0
576,9,20,8,0
577,2,12,1,0
578,26,2,0,0
579,22,4,0,0
580,103,3,0,1
581,17,6,0,0
582,3,6,0,0
583,13,7,1,0
584,16,23,11,0
585,999,0,0,1
586,26,9,1,0
587,69,3,0,1
588,1,7,0,0
589,24,5,0,0
590,42,1,0,1
591,2,12,0,0
592,1,7,0,0
593,13,7,0,0
594,9,5,0,0
595,13,7,1,0
596,3,5,0,0
597,28,11,0,0
598,15,5,0,0
599,13,22,8,0
600,19,6,1,0
601,2,11,0,0
602,88,2,0,1
603,5,1,0,0
604,1,11,0,0
605,4,2,0,0
606,28,2,0,0
607,7,1,0,0
608,181,2,0,1
609,16,8,0,0
610,76,3,0,1
611,4,10,0,0
612,11,3,0,0
613,9,12,0,0
614,2,16,1,0
615,47,2,0,1
616,1,23,4,0
617,30,7,0,0
618,4,2,0,0
619,1,2,0,0
620,57,2,0,1
621,138,3,0,1
622,2,9,0,0
623,18,3,0,0
624,12,7,0,0
625,36,6,0,1
626,10,4,0,0
627,42,1,0,1
628,7,8,0,0
629,23,4,0,0
630,168,2,0,1
631,13,17,7,0
632,11,4,0,0
633,25,1,0,0
634,5,2,0,0
635,15,7,0,0
636,150,3,0,1
637,84,1,0,1
638,27,3,0,0
639,13,6,0,0
640,6,7,0,0
641,11,10,0,0
642,999,0,0,1
643,56,4,0,1
644,5,10,0,0
645,3,18,0,0
646,13,2,0,0
647,5,5,0,0
648,8,9,0,0
649,3,1,0,0
650,16,7,0,0
651,2,20,11,0
652,4,20,5,0
653,9,8,1,0
654,999,0,0,1
655,187,3,0,1
656,3,24,12,0
657,93,3,0,1
658,264,1,0,1
659,54,15,3,1
660,122,2,0,1
661,4,5,0,0
662,18,4,0,0
663,999,0,0,1
664,20,9,1,0
665,182,3,0,1
666,11,3,0,0
667,21,6,0,0
668,13,21,3,0
669,21,8,0,0
670,13,8,0,0
671,8,4,0,0
672,94,3,0,1
673,21,16,7,0
674,32,3,0,1
675,16,5,0,0
676,86,3,0,1
677,2,1,0,0
678,999,0,0,1
679,9,10,0,0
680,8,6,0,0
681,90,2,0,1
682,214,2,0,1
683,105,1,0,1
684,38,6,0,1
685,2,18,6,0
686,25,9,0,0
687,34,3,0,1
688,161,1,0,1
689,28,12,0,0
690,28,21,7,0
691,50,1,0,1
692,5,21,4,0
693,183,1,0,1
694,119,3,0,1
695,145,2,0,1
696,7,13,0,0
697,185,1,0,1
698,13,17,4,0
699,144,4,0,1
700,8,3,0,0
701,112,1,0,1
702,20,18,2,0
703,69,5,0,1
704,3,9,0,0
705,2,8,0,0
706,9,7,0,0
707,25,16,2,0
708,39,9,1,1
709,21,1,0,0
710,40,3,0,1
711,9,8,0,0
712,109,1,0,1
713,20,2,0,0
714,39,10,0,1
715,33,12,1,1
716,999,0,0,1
717,14,13,1,0
718,137,5,0,1
719,1,2,0,0
720,110,3,0,1
721,3,21,6,0
722,26,6,0,0
723,61,1,0,1
724,18,6,0,0
725,2,35,10,0
726,101,1,0,1
727,69,4,0,1
728,6,14,0,0
729,2,7,0,0
730,999,0,0,1
731,69,5,0,1
732,9,1,0,0
733,36,5,0,1
734,120,4,0,1
735,117,3,0,1
736,30,5,0,0
737,218,1,0,1
738,33,1,0,1
739,7,24,9,0
740,15,2,0,0
741,21,10,0,0
742,3,26,6,0
743,17,6,0,0
744,4,2,0,0
745,22,14,1,0
746,102,1,0,1
747,2,10,0,0
748,127,2,0,1
749,14,7,0,0
750,21,11,0,0
751,149,1,0,1
752,7,9,0,0
753,29,6,0,0
754,11,3,0,0
755,20,10,1,0
756,15,11,1,0
757,75,2,0,1
758,32,8,0,1
759,1,29,10,0
760,5,23,11,0
761,6,14,5,0
762,5,16,0,0
763,3,7,0,0
764,97,1,0,1
765,5,5,0,0
766,1,18,7,0
767,12,5,0,0
768,92,1,0,1
769,7,8,2,0
770,17,8,1,0
771,2,10,1,0
772,3,5,0,0
773,16,8,0,0
774,10,2,0,0
775,46,5,0,1
776,3,20,7,0
777,92,3,0,1
778,41,4,0,1
779,24,5,0,0
780,999,0,0,1
781,127,2,0,1
782,14,8,0,0
783,43,7,0,1
784,43,8,0,1
785,5,11,0,0
786,17,2,0,0
787,999,0,0,1
788,222,1,0,1
789,4,9,0,0
790,174,1,0,1
791,18,8,1,0
792,29,25,11,0
793,20,21,7,0
794,265,1,0,1
795,52,9,0,1
796,80,1,0,1
797,4,4,0,0
798,73,3,0,1
799,11,14,0,0
800,2,1,0,0
801,45,5,0,1
802,48,3,0,1
803,2,8,0,0
804,64,2,0,1
805,1,22,6,0
806,9,2,0,0
807,13,2,0,0
808,2,6,0,0
809,17,9,0,0
810,201,1,0,1
811,99,2,0,1
812,19,6,0,0
813,70,2,0,1
814,17,5,0,0
815,63,2,0,1
816,31,2,0,1
817,27,5,0,0
818,30,3,0,0
819,10,14,1,0
820,16,7,0,0
821,62,2,0,1
822,3,5,0,0
823,999,0,0,1
824,7,11,1,0
825,12,22,7,0
826,2,14,6,0
827,26,4,0,0
828,5,3,0,0
829,59,6,0,1
830,4,3,0,0
831,999,0,0,1
832,6,7,0,0
833,20,5,0,0
834,4,3,0,0
835,21,11,1,0
836,4,6,0,0
837,3,3,0,0
838,3,27,10,0
839,60,7,1,1
840,9,21,4,0
841,4,10,4,0
842,2,16,2,0
843,7,1,0,0
844,17,4,0,0
845,999,0,0,1
846,57,1,0,1
847,7,7,1,0
848,8,9,0,0
849,87,1,0,1
850,2,5,0,0
851,999,0,0,1
852,20,4,0,0
853,57,3,0,1
854,65,4,0,1
855,2,25,9,0
856,2,16,7,0
857,19,1,0,0
858,16,10,0,0
859,270,1,0,1
860,26,4,0,0
861,133,3,0,1
862,14,10,0,0
863,1,19,6,0
864,50,3,0,1
865,5,6,0,0
866,10,6,1,0
867,5,7,0,0
868,12,14,0,0
869,21,5,0,0
870,40,7,0,1
871,21,3,0,0
872,13,3,0,0
873,6,4,0,0
874,36,2,0,1
875,21,14,2,0
876,1,26,5,0
877,11,6,0,0
878,28,2,0,0
879,51,1,0,1
880,2,1,0,0
881,19,11,0,0
882,218,1,0,1
883,3,4,0,0
884,5,1,0,0
885,9,6,0,0
886,35,19,7,1
887,29,5,0,0
888,1,22,8,0
889,38,4,0,1
890,1,3,0,0
891,4,26,13,0
892,264,1,0,1
893,23,2,0,0
894,12,11,0,0
895,26,3,0,0
896,60,1,0,1
897,32,8,0,1
898,9,8,0,0
899,1,25,6,0
900,39,4,0,1
901,13,11,0,0
902,23,16,10,0
903,17,6,0,0
904,70,3,0,1
905,21,14,4,0
906,37,4,0,1
907,62,5,0,1
908,3,8,0,0
909,20,2,0,0
910,1,11,1,0
911,3,21,3,0
912,2,1,0,0
913,5,14,1,0
914,1,11,0,0
915,5,14,0,0
916,53,3,0,1
917,8,17,7,0
918,27,11,0,0
919,140,3,0,1
920,2,24,10,0
921,8,11,9,0
922,146,1,0,1
923,7,2,0,0
924,999,0,0,1
925,13,1,0,0
926,35,21,8,1
927,21,4,0,0
928,1,23,7,0
929,3,5,0,0
930,94,3,0,1
931,7,24,14,0
932,5,10,0,0
933,6,15,2,0
934,87,1,0,1
935,6,20,9,0
936,14,8,0,0
937,31,7,0,1
938,148,1,0,1
939,94,1,0,1
940,2,14,1,0
941,7,6,0,0
942,123,1,0,1
943,37,2,0,1
944,12,8,0,0
945,999,0,0,1
946,1,9,0,0
947,4,14,1,0
948,6,19,3,0
949,14,6,0,0
950,59,7,0,1
951,108,1,0,1
952,2,13,0,0
953,14,11,0,0
954,132,1,0,1
955,4,14,4,0
956,19,9,0,0
957,104,2,0,1
958,999,0,0,1
959,129,3,0,1
960,10,5,0,0
961,93,5,0,1
962,2,3,0,0
963,15,10,0,0
964,6,5,0,0
965,999,0,0,1
966,21,5,0,0
967,999,0,0,1
968,2,6,0,0
969,217,1,0,1
970,19,9,0,0
971,2,14,6,0
972,17,6,0,0
973,4,9,0,0
974,23,8,0,0
975,73,1,0,1
976,3,10,0,0
977,8,21,12,0
978,48,8,2,1
979,1,6,0,0
980,47,3,0,1
981,10,7,0,0
982,36,3,0,1
983,53,2,0,1
984,5,8,1,0
985,4,9,0,0
986,999,0,0,1
987,51,1,0,1
988,111,3,0,1
989,54,1,0,1
990,24,23,6,0
991,274,3,0,1
992,999,0,0,1
993,31,4,0,1
994,31,2,0,1
995,12,6,0,0
996,2,13,1,0
997,67,5,0,1
998,37,4,0,1
999,999,0,0,1
1000,999,0,0,1
1001,76,3,0,1
1002,11,7,0,0
1003,6,5,0,0
1004,253,1,0,1
1005,50,7,0,1
1006,12,16,5,0
1007,29,2,1,0
1008,38,7,0,1
1009,44,8,0,1
1010,19,7,0,0
1011,4,8,1,0
1012,49,8,1,1
1013,49,5,0,1
1014,4,16,1,0
1015,109,5,0,1
1016,4,22,9,0
1017,3,10,0,0
1018,25,1,0,0
1019,48,4,0,1
1020,2,19,6,0
1021,9,8,0,0
1022,12,9,0,0
1023,5,14,1,0
1024,24,12,0,0
1025,4,11,0,0
1026,188,1,0,1
1027,3,1,0,0
1028,6,7,0,0
1029,48,3,0,1
1030,21,4,0,0
1031,78,2,0,1
1032,9,4,0,0
1033,999,0,0,1
1034,230,1,0,1
1035,18,2,0,0
1036,94,9,1,1
1037,83,1,0,1
1038,13,25,9,0
1039,17,3,0,0
1040,66,1,0,1
1041,49,3,0,1
1042,3,9,0,0
1043,8,3,0,0
1044,26,3,0,0
1045,29,3,0,0
1046,16,5,0,0
1047,19,14,6,0
1048,14,1,0,0
1049,20,12,1,0
1050,10,1,0,0
1051,4,5,0,0
1052,2,5,0,0
1053,113,1,0,1
1054,56,2,0,1
1055,78,3,0,1
1056,50,4,1,1
1057,6,15,4,0
1058,4,4,0,0
1059,1,9,0,0
1060,8,16,2,0
1061,261,1,0,1
1062,8,9,0,0
1063,19,15,0,0
1064,8,11,0,0
1065,26,8,0,0
1066,34,3,1,1
1067,2,9,1,0
1068,21,10,0,0
1069,28,1,0,0
1070,999,0,0,1
1071,20,4,0,0
1072,999,0,0,1
1073,9,23,10,0
1074,80,3,0,1
1075,2,9,0,0
1076,36,6,0,1
1077,4,15,0,0
1078,38,5,0,1
1079,1,4,0,0
1080,7,11,0,0
1081,35,1,0,1
1082,4,4,0,0
1083,4,21,5,0
1084,57,1,0,1
1085,24,3,0,0
1086,1,10,0,0
1087,3,13,4,0
1088,999,0,0,1
1089,4,9,0,0
1090,4,11,1,0
1091,12,12,1,0
1092,1,20,6,0
1093,22,1,0,0
1094,4,18,4,0
1095,3,9,0,0
1096,58,1,0,1
1097,98,3,0,1
1098,97,1,0,1
1099,57,3,0,1
1100,49,7,0,1
1101,41,4,0,1
1102,45,6,0,1
1103,20,13,6,0
1104,2,9,0,0
1105,4,4,0,0
1106,4,15,7,0
1107,17,2,0,0
1108,4,13,1,0
1109,82,6,0,1
1110,16,3,0,0
1111,23,3,0,0
1112,7,8,1,0
1113,999,0,0,1
1114,26,13,0,0
1115,56,4,0,1
1116,17,3,0,0
1117,5,2,0,0
1118,47,3,0,1
1119,4,10,0,0
1120,53,7,0,1
1121,35,10,0,1
1122,116,2,0,1
1123,1,3,0,0
1124,176,1,0,1
1125,999,0,0,1
1126,5,9,3,0
1127,4,23,7,0
1128,59,7,0,1
1129,23,12,0,0
1130,11,3,0,0
1131,11,4,0,0
1132,2,16,4,0
1133,142,2,0,1
1134,1,6,0,0
1135,18,10,0,0
1136,41,4,0,1
1137,14,20,5,0
1138,27,4,0,0
1139,16,23,6,0
1140,3,3,0,0
1141,8,22,15,0
1142,12,5,0,0
1143,4,4,0,0
1144,7,27,10,0
1145,120,3,0,1
1146,4,3,0,0
1147,999,0,0,1
1148,7,2,0,0
1149,4,6,0,0
1150,1,3,0,0
1151,8,4,0,0
1152,125,1,0,1
1153,16,2,0,0
1154,2,26,11,0
1155,238,1,0,1
1156,999,0,0,1
1157,16,2,0,0
1158,2,12,2,0
1159,12,12,1,0
1160,1,28,6,0
1161,7,6,0,0
1162,999,0,0,1
1163,35,5,0,1
1164,3,12,0,0
1165,14,5,0,0
1166,999,0,0,1
1167,6,10,0,0
1168,999,0,0,1
1169,5,3,0,0
1170,7,12,0,0
1171,99,1,0,1
1172,999,0,0,1
1173,1,19,9,0
1174,999,0,0,1
1175,124,1,0,1
1176,30,6,0,0
1177,43,3,0,1
1178,39,3,0,1
1179,26,12,1,0
1180,27,2,0,0
1181,14,13,0,0
1182,29,1,0,0
1183,64,3,0,1
1184,23,2,0,0
1185,4,9,0,0
1186,8,2,0,0
1187,324,1,0,1
1188,999,0,0,1
1189,120,3,0,1
1190,46,11,0,1
1191,17,11,1,0
1192,999,0,0,1
1193,193,4,0,1
1194,27,1,0,0
1195,7,7,0,0
1196,9,2,0,0
1197,6,9,0,0
1198,12,6,0,0
1199,999,0,0,1
1200,11,2,0,0
1201,77,1,0,1
1202,19,4,0,0
1203,5,4,0,0
1204,106,3,0,1
1205,20,8,0,0
1206,12,4,0,0
1207,180,1,0,1
1208,15,2,0,0
1209,84,3,0,1
1210,27,4,0,0
1211,77,1,0,1
1212,5,4,0,0
1213,13,5,1,0
1214,19,8,1,0
1215,21,7,0,0
1216,27,12,0,0
1217,7,21,3,0
1218,12,18,4,0
1219,54,4,0,1
1220,999,0,0,1
1221,1,30,10,0
1222,999,0,0,1
1223,999,0,0,1
1224,1,6,0,0
1225,31,6,0,1
1226,23,4,0,0
1227,73,2,0,1
1228,12,7,0,0
1229,1,7,0,0
1230,22,6,0,0
1231,6,20,5,0
1232,2,20,5,0
1233,3,32,16,0
1234,6,7,0,0
1235,3,17,9,0
1236,98,6,0,1
1237,9,1,0,0
1238,25,6,0,0
1239,40,7,0,1
1240,23,4,0,0
1241,3,7,0,0
1242,4,7,0,0
1243,3,14,1,0
1244,3,22,12,0
1245,39,3,0,1
1246,4,1,0,0
1247,40,3,0,1
1248,76,5,0,1
1249,14,7,1,0
1250,8,3,0,0
1251,15,9,0,0
1252,2,2,0,0
1253,125,2,0,1
1254,14,13,0,0
1255,4,8,1,0
1256,7,2,0,0
1257,27,9,0,0
1258,19,3,0,0
1259,36,1,0,1
1260,28,10,0,0
1261,7,27,9,0
1262,10,7,0,0
1263,151,1,0,1
1264,4,5,0,0
1265,10,14,1,0
1266,26,20,9,0
1267,27,5,0,0
1268,34,14,9,1
1269,92,2,0,1
1270,20,1,0,0
1271,8,8,0,0
1272,52,2,0,1
1273,21,4,0,0
1274,37,5,0,1
1275,999,0,0,1
1276,95,3,0,1
1277,75,1,0,1
1278,11,8,0,0
1279,133,2,0,1
1280,12,20,3,0
1281,2,9,0,0
1282,21,9,1,0
1283,39,11,0,1
1284,34,5,0,1
1285,9,4,0,0
1286,3,1,0,0
1287,2,20,5,0
1288,22,6,0,0
1289,999,0,0,1
1290,49,4,0,1
1291,28,5,0,0
1292,100,8,1,1
1293,3,33,19,0
1294,4,9,0,0
1295,999,0,0,1
1296,5,20,9,0
1297,2,18,4,0
1298,2,5,0,0
1299,4,11,0,0
1300,76,4,0,1
1301,14,1,0,0
1302,2,18,5,0
1303,8,2,0,0
1304,2,4,0,0
1305,3,7,0,0
1306,92,1,0,1
1307,22,8,0,0
1308,28,8,0,0
1309,42,9,0,1
1310,2,3,0,0
1311,20,11,0,0
1312,21,7,0,0
1313,120,4,0,1
1314,142,2,0,1
1315,212,1,0,1
1316,52,1,0,1
1317,130,4,0,1
1318,62,2,0,1
1319,104,4,0,1
1320,12,23,3,0
1321,7,11,0,0
1322,6,3,0,0
1323,35,5,0,1
1324,1,11,0,0
1325,3,15,9,0
1326,1,11,0,0
1327,22,6,0,0
1328,60,1,0,1
1329,1,6,0,0
1330,14,22,4,0
1331,11,8,1,0
1332,72,5,0,1
1333,6,13,0,0
1334,3,10,1,0
1335,33,8,0,1
1336,251,1,0,1
1337,999,0,0,1
1338,35,13,0,1
1339,92,2,0,1
1340,2,3,0,0
1341,56,3,0,1
1342,17,25,7,0
1343,2,16,3,0
1344,21,7,0,0
1345,3,4,0,0
1346,4,3,0,0
1347,27,4,0,0
1348,999,0,0,1
1349,14,14,8,0
1350,21,5,0,0
1351,76,3,0,1
1352,56,3,0,1
1353,8,5,0,0
1354,1,18,10,0
1355,50,3,0,1
1356,14,10,0,0
1357,37,3,0,1
